Request ID,Memory Required,Node Allocated,Node Data,Time Taken,Failed Requests
	1,			12,			
								17,			16

	2,			7,			
								49,			8

	3,			5,			
								64,			8

	4,			16,			
								17,			16

	5,			6,			
								81,			8

	6,			23,			
								143,			32

	7,			27,			
								206,			32

	8,			23,			
								271,			32

	9,			23,			
								334,			32

	10,			13,			
								111,			16

	11,			2,			
								51,			2

	12,			17,			
								398,			32

	13,			23,			
								461,			32

	14,			32,			
								527,			32

	15,			23,			
								590,			32

	16,			15,			
								17,			16

	17,			11,			
								655,			16

	18,			12,			
								686,			16

	19,			2,			
								54,			2

	20,			28,			
								717,			32

	21,			14,			
								80,			16

	22,			18,			
								782,			32

	23,			29,			
								845,			32

	24,			13,			
								144,			16

	25,			30,			
								909,			32

	26,			19,			
								972,			32

	27,			29,			
								1039,			32

	28,			19,			
								206,			32

	29,			31,			
								1102,			32

	30,			25,			
								1166,			32

	31,			22,			
								1229,			32

	32,			7,			
								64,			8

	33,			26,			
								271,			32

	34,			29,			
								1294,			32

	35,			11,			
								175,			16

	36,			31,			
								334,			32

	37,			8,			
								1359,			8

	38,			15,			
								1389,			16

	39,			19,			
								1421,			32

	40,			2,			
								58,			2

	41,			3,			
								113,			4

	42,			4,			
								120,			4

	43,			13,			
								1485,			16

	44,			4,			
								128,			4

	45,			29,			
								1550,			32

	46,			20,			
								1613,			32

	47,			9,			
								1516,			16

	48,			32,			
								398,			32

	49,			9,			
								1678,			16

	50,			19,			
								1740,			32

	51,			27,			
								1805,			32

	52,			10,			
								462,			16

	53,			28,			
								1868,			32

	54,			16,			
								493,			16

	55,			14,			
								1709,			16

	56,			13,			
								528,			16

	57,			28,			
								1932,			32

	58,			32,			
								1995,			32

	59,			18,			
								2063,			32

	60,			12,			
								559,			16

	61,			6,			
								592,			8

	62,			22,			
								2126,			32

	63,			24,			
								2190,			32

	64,			6,			
								18,			8

	65,			26,			
								2253,			32

	66,			31,			
								2318,			32

	67,			24,			
								2381,			32

	68,			1,			
								36,			1

	69,			20,			
								2445,			32

	70,			7,			
								607,			8

	71,			7,			
								623,			8

	72,			2,			
								38,			2

	73,			8,			
								638,			8

	74,			26,			
								654,			32

	75,			27,			
								2508,			32

	76,			27,			
								2574,			32

	77,			18,			
								2637,			32

	78,			20,			
								2701,			32

	79,			16,			
								2765,			16

	80,			1,			
								37,			1

	81,			2,			
								42,			2

	82,			2,			
								45,			2

	83,			11,			
								718,			16

	84,			28,			
								2829,			32

	85,			13,			
								80,			16

	86,			2,			
								51,			2

	87,			17,			
								2892,			32

	88,			22,			
								782,			32

	89,			20,			
								2956,			32

	90,			23,			
								3019,			32

	91,			11,			
								749,			16

	92,			19,			
								845,			32

	93,			17,			
								3086,			32

	94,			1,			
								55,			1

	95,			2,			
								61,			2

	96,			7,			
								145,			8

	97,			28,			
								3149,			32

	98,			29,			
								3213,			32

	99,			14,			
								2796,			16

	100,			13,			
								910,			16

	101,			11,			
								941,			16

	102,			32,			
								3276,			32

	103,			24,			
								3341,			32

	104,			23,			
								972,			32

	105,			3,			
								135,			4

	106,			10,			
								3405,			16

	107,			4,			
								161,			4

	108,			2,			
								169,			2

	109,			31,			
								1039,			32

	110,			18,			
								3468,			32

	111,			29,			
								3531,			32

	112,			31,			
								206,			32

	113,			28,			
								3597,			32

	114,			11,			
								3436,			16

	115,			18,			
								3660,			32

	116,			31,			
								1102,			32

	117,			28,			
								3724,			32

	118,			7,			
								1374,			8

	119,			7,			
								3789,			8

	120,			27,			
								1166,			32

	121,			9,			
								3819,			16

	122,			15,			
								3853,			16

	123,			12,			
								3884,			16

